0	0.00682	world	request	projects	aid	products	food	supply	programme	butteroil	pood
2	0.0006	quoted	spot	produced	date	sugar	export	quota	excess	maximum	licence
4	0.00121	spring	structure	manpower	states	statistical	sample	population	households	survey	surveys
5	0.00121	advisory	study	high	project	technical	water	material	nuclear	fuels	energy
6	0.02495	november	end	communication	meeting	commission	general	industries	industry	programme	community’s
8	0.00182	bangladesh	relevant	people’s	government	trade	handlooms	woven	cotton	fabrics	silk
9	0.00121	formation	years	compensation	relative	competitiveness	costs	recession	ration	figures	rise
11	0.0093	period	trend	gross	current	savings	oil	energy	supply	production	consumption
13	0.00363	broken	threshold	brewers	stand	quality	variety	milled	rice	husked	long-grained
14	0.00182	elimination	implied	clothing	effect	discretionary	petroleum	industrial	industries	component	components
18	0.0006	north	norwegian	type	means	combat	dispersants	pollution	cooperation	agreements	ecofisk
19	0.00488	entered	meetings	relating	sections	communities	appropriations	annex	property	maintenance	equipment
20	0.00424	date	content	standards	methods	butter	water	frozen	cocks	chickens	hens
24	0.04837	present	problems	view	conditions	community	development	policy	countries	trade	market
25	0.00245	soft	account	variable	applicable	countries	components	importation	goods	wheat	flour
28	0.00304	falling	exceeding	applicable	amounts	content	dry	cereals	rice	wheat	barley
29	0.00426	promotions	negotiating	seek	loans	financial	situations	balance	nature	objectives	interests
31	0.06862	conditions	article	member	case	relating	accordance	states	state	council	commission
34	0.0006	governor	family	destination	directive	pressures	flame	injector	supplied	accordance	connection
35	0.01614	representative	applied	article	agricultural	measures	prices	rate	lira	italian	italy
36	0.01701	united	year	terms	increase	prices	rate	policy	monetary	economic	employment
37	0.00061	accidental	effects	research	information	equipment	discharges	sea	hydrocarbons	oil	gas
38	0.00244	agreement	information	field	referred	fusion	thermonuclear	sweden	swedish	programme	euratom
41	0.0087	recipient	date	european	country	economic	goods	delivery	loading	vessel	port
43	0.00428	member	french	falling	circulation	treatment	states	free	apply	tariff	customs
45	0.00304	agreement	including	apparatus	outer	synthetic	motor	electrical	wire	garments	leather
46	0.0006	lebanese	july	technical	states	trade	cooperation	extension	year	member	part
48	0.00302	intervention	year	reduced	increase	sale	price	pries	milk	beef	veal
49	0.0006	stone	percentage	undetermined	frames	remove	industries	countries	interlining	verifying	clarifying
50	0.00428	september	minimum	strictly	measures	national	local	policy	law	fisheries	fishery
58	0.00183	lead	types	quantitative	copper	waste	scrap	export	quotas	quota	aluminium
59	0.00305	heading	weight	protocol	copper	material	customs	goods	textile	yarn	fibres
61	0.00243	member	shock	kingdom	exchange	public	community	activity	gdp	inflation	unemployment
62	0.00367	date	transitional	accession	measures	level	position	meeting	deputy	states	statement
65	0.00242	exchange	letters	sardines	conclusion	prepared	arrangements	morocco	tunisia	january	december
67	0.0006	passing	traffic	directive	requirements	component	beam	headlight	lamp	type-approval	main-beam
68	0.14721	european	regulation	article	regard	states	eec	member	community	council	commission
70	0.00121	duties	sewing	circuits	level	imports	tubes	ceiling	ceilings	man-made	fibres
71	0.00544	uniform	free	regulations	establishment	social	data	valuation	june	november	september
72	0.02061	made	number	provided	important	order	system	greater	cooperation	sector	commercial
73	0.01253	bank	effective	public	maintain	cost	total	degree	extent	term	time
74	0.00121	directive	article	natural	food	materials	foodstuffs	substances	substance	flavourings	flavouring
75	0.0006	mount	immovable	delegation	request	special	law	freedom	greece	greek	athos
